task_id	hash	native_id	name	status	exit	realtime	peak_vmem	peak_rss
66	55/aed65f	2267840	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	25m 1s	10.5 GB	9.7 GB
73	1c/83efff	2267849	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	25m 26s	10.5 GB	9.7 GB
1556	47/cb859d	2268004	run_method (papalexi/eccite_screen/gene+schraivogel_method)	COMPLETED	0	9m 36s	13.5 GB	12.7 GB
38	e7/855f7e	2267813	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	25m 45s	10.5 GB	9.7 GB
108	37/beac6a	2267883	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	25m 34s	10.5 GB	9.7 GB
129	9c/06f434	2267904	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	25m 31s	10.5 GB	9.7 GB
177	3f/32e357	2267952	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	21m 9s	25.7 GB	24.9 GB
1917	65/88a1cb	2268081	run_method (schraivogel/enhancer_screen_chr8/gene+weissman_method)	COMPLETED	0	26.8s	4.4 GB	3.7 GB
59	7b/642647	2267834	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	26m 15s	10.5 GB	9.7 GB
1266	ad/226c5e	2268060	run_method (frangieh/ifn_gamma/gene+weissman_method)	COMPLETED	0	3m 39s	41.7 GB	41 GB
1570	ee/a49aca	2268026	run_method (papalexi/eccite_screen/gene+schraivogel_method)	COMPLETED	0	8m 55s	13.5 GB	12.7 GB
811	19/4154ff	2268069	run_method (frangieh/control/gene+weissman_method)	COMPLETED	0	2m 40s	27.4 GB	26.7 GB
31	1e/3e86b9	2267805	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	27m 29s	10.5 GB	9.7 GB
1919	35/b5ed51	2268082	run_method (schraivogel/enhancer_screen_chr8/gene+nb_regression)	COMPLETED	0	55.4s	4.4 GB	3.6 GB
1920	19/40d336	2268083	run_method (schraivogel/enhancer_screen_chr8/gene+schraivogel_method)	COMPLETED	0	1m 6s	2.7 GB	1.9 GB
1980	4f/9c8a81	2268094	run_method (schraivogel/enhancer_screen_chr8/gene+weissman_method)	COMPLETED	0	27.1s	4.4 GB	3.7 GB
143	37/aa85ae	2267917	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	27m 13s	10.5 GB	9.7 GB
184	80/c5b238	2267960	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	22m 43s	25.7 GB	24.9 GB
198	dc/e8f963	2267973	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	18m 59s	25.7 GB	24.8 GB
1322	e3/0ba801	2268070	run_method (frangieh/ifn_gamma/gene+weissman_method)	COMPLETED	0	4m	41.7 GB	41 GB
157	64/32be45	2267931	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 46s	10.5 GB	9.7 GB
1981	09/24d28d	2268095	run_method (schraivogel/enhancer_screen_chr8/gene+permutation_test)	COMPLETED	0	46.5s	4.3 GB	3.6 GB
115	67/5bb5a3	2267891	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	28m 3s	10.5 GB	9.7 GB
122	45/28612a	2267899	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	28m 1s	10.5 GB	9.7 GB
164	a7/0f0cb1	2267940	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	25m 2s	10.5 GB	9.7 GB
2162	21/630fe1	2268084	run_method (schraivogel/ground_truth_perturbseq/gene+weissman_method)	COMPLETED	0	3m 53s	29.8 GB	29.1 GB
440	82/4fa17f	2268086	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 25s	38.7 GB	38 GB
1070	04/e76e8b	2268090	run_method (frangieh/ifn_gamma/gene+weissman_method)	COMPLETED	0	3m 9s	41.7 GB	41 GB
2051	46/1410e1	2268103	run_method (schraivogel/enhancer_screen_chr8/gene+permutation_test)	COMPLETED	0	46.9s	4.3 GB	3.6 GB
171	2c/f8b438	2267947	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	25m 18s	10.5 GB	9.7 GB
1785	ce/dd1a3f	2268102	run_method (schraivogel/enhancer_screen_chr11/gene+permutation_test)	COMPLETED	0	58.8s	4.1 GB	3.5 GB
150	9f/bf616d	2267925	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	27m 45s	10.5 GB	9.7 GB
1196	0d/8a90eb	2268092	run_method (frangieh/ifn_gamma/gene+weissman_method)	COMPLETED	0	3m 39s	41.7 GB	41 GB
1880	ea/585b55	2268111	run_method (schraivogel/enhancer_screen_chr8/gene+liscovitch_method)	COMPLETED	0	29.7s	4.4 GB	3.7 GB
2400	d4/981684	2268113	run_method (schraivogel/ground_truth_tapseq/gene+weissman_method)	COMPLETED	0	12.2s	1.1 GB	429.3 MB
185	e7/e05651	2267959	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	25m 33s	10.5 GB	9.7 GB
87	fb/1fa3ed	2267862	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	31m 50s	10.5 GB	9.7 GB
933	6d/fb2cbd	2268024	run_method (frangieh/control/gene+schraivogel_method)	COMPLETED	0	15m 17s	18.8 GB	18 GB
1161	27/18c4aa	2268098	run_method (frangieh/ifn_gamma/gene+weissman_method)	COMPLETED	0	4m	41.7 GB	41 GB
192	a1/ca2623	2267968	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	25m 50s	10.5 GB	9.7 GB
199	58/37e30c	2267974	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	26m 36s	10.5 GB	9.7 GB
426	c5/8a056e	2268115	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 27s	38.7 GB	38 GB
1332	4d/cae4d0	2268009	run_method (frangieh/ifn_gamma/gene+schraivogel_method)	COMPLETED	0	19m 46s	28.2 GB	27.3 GB
178	c8/13c07f	2267953	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	31m 16s	10.5 GB	9.7 GB
681	30/03525d	2268068	run_method (frangieh/control/gene+schraivogel_method)	COMPLETED	0	13m 21s	18.8 GB	18 GB
2620	a0/b7592a	2268016	run_method (simulated/experiment_1/gene+schraivogel_method)	COMPLETED	0	21m 20s	21.1 GB	20.2 GB
1375	d9/f6fba0	2267984	run_method (frangieh/ifn_gamma/gene+seurat_de)	COMPLETED	0	23m 20s	9.8 GB	9 GB
1353	d2/d0d4f2	2268028	run_method (frangieh/ifn_gamma/gene+schraivogel_method)	COMPLETED	0	20m 4s	28.2 GB	27.3 GB
485	dc/014f15	2268046	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	18m 3s	25.7 GB	24.9 GB
1870	98/09fa74	2268126	run_method (schraivogel/enhancer_screen_chr11/gene+nb_regression)	COMPLETED	0	1m 13s	4.2 GB	3.5 GB
940	bc/795915	2268089	run_method (frangieh/control/gene+schraivogel_method)	COMPLETED	0	13m 30s	18.8 GB	18 GB
958	55/2728a8	2268129	run_method (frangieh/control/gene+weissman_method)	COMPLETED	0	2m 40s	27.4 GB	26.7 GB
1445	7b/835c0f	2268025	run_method (frangieh/ifn_gamma/gene+seurat_de)	COMPLETED	0	23m 26s	9.8 GB	9 GB
632	ec/1dc97f	2268076	run_method (frangieh/control/gene+schraivogel_method)	COMPLETED	0	15m 35s	18.8 GB	18 GB
2435	b4/b3b57f	2268133	run_method (schraivogel/ground_truth_tapseq/gene+weissman_method)	COMPLETED	0	12.1s	1.1 GB	436.2 MB
1053	7d/3ad948	2268000	run_method (frangieh/ifn_gamma/gene+seurat_de)	COMPLETED	0	27m 53s	9.8 GB	9 GB
633	2d/ed849d	2268075	run_method (frangieh/control/gene+seurat_de)	COMPLETED	0	17m 42s	7.4 GB	6.6 GB
1305	58/1c0549	2268001	run_method (frangieh/ifn_gamma/gene+seurat_de)	COMPLETED	0	28m 15s	9.8 GB	9 GB
720	e3/11b569	2268135	run_method (frangieh/control/gene+weissman_method)	COMPLETED	0	2m 38s	27.4 GB	26.7 GB
1431	67/46e7c2	2268002	run_method (frangieh/ifn_gamma/gene+seurat_de)	COMPLETED	0	27m 39s	9.8 GB	9 GB
1494	0f/bb9075	2268036	run_method (frangieh/ifn_gamma/gene+seurat_de)	COMPLETED	0	25m	9.8 GB	9 GB
1802	9c/3c83a7	2268140	run_method (schraivogel/enhancer_screen_chr11/gene+seurat_de)	COMPLETED	0	55.5s	4.3 GB	3.6 GB
101	5f/5ac8a2	2267876	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	44m 1s	10.5 GB	9.7 GB
380	6b/3cb809	2268074	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	19m 48s	25.5 GB	24.7 GB
1828	33/833ffe	2268144	run_method (schraivogel/enhancer_screen_chr11/gene+nb_regression)	COMPLETED	0	1m 9s	4.2 GB	3.5 GB
1413	59/8140fc	2268138	run_method (frangieh/ifn_gamma/gene+weissman_method)	COMPLETED	0	3m 42s	41.7 GB	41 GB
1409	6f/01e0d0	2268080	run_method (frangieh/ifn_gamma/gene+schraivogel_method)	COMPLETED	0	21m 11s	28.2 GB	27.3 GB
555	3d/d11153	2268118	run_method (frangieh/control/gene+schraivogel_method)	COMPLETED	0	14m 10s	18.8 GB	18 GB
1996	80/32e8ab	2268147	run_method (schraivogel/enhancer_screen_chr8/gene+nb_regression)	COMPLETED	0	54.7s	4.4 GB	3.6 GB
1108	71/d991a6	2268108	run_method (frangieh/ifn_gamma/gene+schraivogel_method)	COMPLETED	0	17m 42s	28.2 GB	27.3 GB
2099	31/0582cb	2268146	run_method (schraivogel/ground_truth_perturbseq/gene+weissman_method)	COMPLETED	0	2m 59s	29.8 GB	29.1 GB
1164	7e/6a57b6	2268101	run_method (frangieh/ifn_gamma/gene+schraivogel_method)	COMPLETED	0	19m 37s	28.2 GB	27.3 GB
2030	1a/8ddae5	2268152	run_method (schraivogel/enhancer_screen_chr8/gene+permutation_test)	COMPLETED	0	44.4s	4.3 GB	3.6 GB
1144	0e/92b74f	2268078	run_method (frangieh/ifn_gamma/gene+seurat_de)	COMPLETED	0	24m 15s	9.8 GB	9 GB
311	f8/60ed65	2268085	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 22s	10.5 GB	9.7 GB
2172	da/43df0d	2268020	run_method (schraivogel/ground_truth_perturbseq/gene+schraivogel_method)	COMPLETED	0	35m 22s	29.2 GB	28.3 GB
2242	42/d5d862	2268043	run_method (schraivogel/ground_truth_perturbseq/gene+schraivogel_method)	COMPLETED	0	31m 24s	29.2 GB	28.3 GB
815	77/7a51be	2268116	run_method (frangieh/control/gene+seurat_de)	COMPLETED	0	19m 20s	7.4 GB	6.6 GB
2376	3c/f7d580	2268160	run_method (schraivogel/ground_truth_tapseq/gene+seurat_de)	COMPLETED	0	18.4s	1.2 GB	413.3 MB
1708	2c/fab7c6	2268158	run_method (schraivogel/enhancer_screen_chr11/gene+permutation_test)	COMPLETED	0	53.3s	4.1 GB	3.5 GB
961	02/476f55	2268130	run_method (frangieh/control/gene+schraivogel_method)	COMPLETED	0	14m 22s	18.8 GB	18 GB
54	72/25e3a7	2267829	run_method (frangieh/co_culture/gene+mimosca)	COMPLETED	0	52m 47s	27.6 GB	26.7 GB
388	20/0bdf7e	2268096	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 53s	10.5 GB	9.7 GB
61	d4/98fd1a	2267835	run_method (frangieh/co_culture/gene+mimosca)	COMPLETED	0	53m 4s	27.6 GB	26.7 GB
40	92/5bbaa0	2267816	run_method (frangieh/co_culture/gene+mimosca)	COMPLETED	0	54m 14s	27.5 GB	26.7 GB
103	45/125f6a	2267878	run_method (frangieh/co_culture/gene+mimosca)	COMPLETED	0	53m 40s	27.5 GB	26.7 GB
1109	12/b3a72a	2268107	run_method (frangieh/ifn_gamma/gene+seurat_de)	COMPLETED	0	23m 48s	9.8 GB	9 GB
138	e5/74a418	2267913	run_method (frangieh/co_culture/gene+mimosca)	COMPLETED	0	53m 44s	27.6 GB	26.7 GB
1936	8b/23ede7	2268168	run_method (schraivogel/enhancer_screen_chr8/gene+liscovitch_method)	COMPLETED	0	25.7s	4.4 GB	3.7 GB
1938	ab/491351	2268169	run_method (schraivogel/enhancer_screen_chr8/gene+weissman_method)	COMPLETED	0	25s	4.3 GB	3.6 GB
1354	54/ec1cb7	2268110	run_method (frangieh/ifn_gamma/gene+seurat_de)	COMPLETED	0	24m 8s	9.8 GB	9 GB
117	e2/0a335c	2267892	run_method (frangieh/co_culture/gene+mimosca)	COMPLETED	0	54m 6s	27.6 GB	26.7 GB
2621	bc/39620d	2268017	run_method (simulated/experiment_1/gene+seurat_de)	COMPLETED	0	43m 58s	5.4 GB	4.6 GB
19	f8/930eb7	2267793	run_method (frangieh/co_culture/gene+mimosca)	COMPLETED	0	56m 14s	27.5 GB	26.7 GB
5	5c/5e2f9e	2267781	run_method (frangieh/co_culture/gene+mimosca)	COMPLETED	0	56m 36s	27.6 GB	26.7 GB
145	e6/2069dc	2267919	run_method (frangieh/co_culture/gene+mimosca)	COMPLETED	0	52m 12s	27.6 GB	26.7 GB
1838	c5/2a2a6c	2268175	run_method (schraivogel/enhancer_screen_chr11/gene+liscovitch_method)	COMPLETED	0	20.7s	4.2 GB	3.6 GB
860	3e/f9e62b	2268167	run_method (frangieh/control/gene+weissman_method)	COMPLETED	0	2m 48s	27.4 GB	26.7 GB
110	9c/80ff66	2267885	run_method (frangieh/co_culture/gene+mimosca)	COMPLETED	0	56m 46s	27.6 GB	26.7 GB
